year,khoi,diem_moc,percentile,count_greater_equal,top_percent,higher_than_count,count_exact,view
2025,A1,21.25,27.83614085709061,41097,25.726942068152724,37983,3114,Cả nước
2025,A1,21.0,30.015104410081346,44314,27.83614085709061,41097,3217,Cả nước
2025,A1,20.75,32.19406796307209,47531,30.015104410081346,44314,3217,Cả nước
2025,A1,20.5,34.48953189875304,50920,32.19406796307209,47531,3389,Cả nước
2025,A1,20.25,36.83376343649036,54381,34.48953189875304,50920,3461,Cả nước
2025,A1,20.0,39.309396568657334,58036,36.83376343649036,54381,3655,Cả nước
2025,A1,19.75,41.77419245592289,61675,39.309396568657334,58036,3639,Cả nước
2025,A1,19.5,44.232892392931404,65305,41.77419245592289,61675,3630,Cả nước
2025,A1,19.25,46.74848786567235,69019,44.232892392931404,65305,3714,Cả nước
2025,A1,19.0,49.33317077465981,72835,46.74848786567235,69019,3816,Cả nước
2025,A1,18.75,51.87382737623528,76586,49.33317077465981,72835,3751,Cả nước
2025,A1,18.5,54.41651596122976,80340,51.87382737623528,76586,3754,Cả nước
2025,A1,18.25,56.99713490337919,84150,54.41651596122976,80340,3810,Cả nước
2025,A1,18.0,59.53101822689126,87891,56.99713490337919,84150,3741,Cả nước
2025,A1,17.75,62.07573879530477,91648,59.53101822689126,87891,3757,Cả nước
2025,A1,17.5,64.5737237450809,95336,62.07573879530477,91648,3688,Cả nước
2025,A1,17.25,67.04529291040984,98985,64.5737237450809,95336,3649,Cả nước
2025,A1,17.0,69.38884712034084,102445,67.04529291040984,98985,3460,Cả nước
2025,A1,16.75,71.66737786086333,105809,69.38884712034084,102445,3364,Cả nước
2025,A1,16.5,73.89917298274847,109104,71.66737786086333,105809,3295,Cả nước
2025,A1,16.25,75.96976408672505,112161,73.89917298274847,109104,3057,Cả nước
2025,A1,16.0,78.02003535651149,115188,75.96976408672505,112161,3027,Cả nước
2025,A1,15.75,80.06150136481554,118202,78.02003535651149,115188,3014,Cả nước
2025,A1,15.5,81.9539552557251,120996,80.06150136481554,118202,2794,Cả nước
2025,A1,15.25,83.74006868103956,123633,81.9539552557251,120996,2637,Cả nước
2025,A1,15.0,85.4767371764913,126197,83.74006868103956,123633,2564,Cả nước
2025,A1,14.75,87.05152432622818,128522,85.4767371764913,126197,2325,Cả nước
2025,A1,14.5,88.5484187782361,130732,87.05152432622818,128522,2210,Cả nước
2025,A1,14.25,89.87259463962775,132687,88.5484187782361,130732,1955,Cả nước
2025,A1,14.0,91.15680816044541,134583,89.87259463962775,132687,1896,Cả nước
2025,A1,13.75,92.27168972967847,136229,91.15680816044541,134583,1646,Cả nước
2025,A1,13.5,93.34931826956291,137820,92.27168972967847,136229,1591,Cả nước
2025,A1,13.25,94.334152899979,139274,93.34931826956291,137820,1454,Cả nước
2025,A1,13.0,95.1659114461626,140502,94.334152899979,139274,1228,Cả nước
2025,A1,12.75,95.94077445661377,141646,95.1659114461626,140502,1144,Cả nước
2025,A1,12.5,96.58965449508598,142604,95.94077445661377,141646,958,Cả nước
2025,A1,12.25,97.16944709731169,143460,96.58965449508598,142604,856,Cả nước
2025,A1,12.0,97.66254174032608,144188,97.16944709731169,143460,728,Cả nước
2025,A1,11.75,98.07503437438618,144797,97.66254174032608,144188,609,Cả nước
2025,A1,11.5,98.45027397909767,145351,98.07503437438618,144797,554,Cả nước
2025,A1,11.25,98.7645540812387,145815,98.45027397909767,145351,464,Cả nước
2025,A1,11.0,99.0131333861649,146182,98.7645540812387,145815,367,Cả nước
2025,A1,10.75,99.2264916451615,146497,99.0131333861649,146182,315,Cả nước
2025,A1,10.5,99.39311428552077,146743,99.2264916451615,146497,246,Cả nước
2025,A1,10.25,99.53941709168987,146959,99.39311428552077,146743,216,Cả nước
2025,A1,10.0,99.65862678560543,147135,99.53941709168987,146959,176,Cả nước
2025,A1,9.75,99.73855146675336,147253,99.65862678560543,147135,118,Cả nước
2025,A1,9.5,99.80086562493649,147345,99.73855146675336,147253,92,Cả nước
2025,A1,9.25,99.84760124357385,147414,99.80086562493649,147345,69,Cả nước
2025,A1,9.0,99.87875832266542,147460,99.84760124357385,147414,46,Cả nước
2025,A1,8.75,99.911947385176,147509,99.87875832266542,147460,49,Cả nước
2025,A1,8.5,99.94174980865489,147553,99.911947385176,147509,44,Cả nước
2025,A1,8.25,99.96071498723236,147581,99.94174980865489,147553,28,Cả nước
2025,A1,8.0,99.97087490432745,147596,99.96071498723236,147581,15,Cả nước
2025,A1,7.75,99.9823894770352,147613,99.97087490432745,147596,17,Cả nước
2025,A1,7.5,99.98848542729225,147622,99.9823894770352,147613,9,Cả nước
2025,A1,7.25,99.99254939413028,147628,99.98848542729225,147622,6,Cả nước
2025,A1,7.0,99.99525870535562,147632,99.99254939413028,147628,4,Cả nước
2025,A1,6.75,99.99593603316197,147633,99.99525870535562,147632,1,Cả nước
2025,A1,6.5,99.99729068877464,147635,99.99593603316197,147633,2,Cả nước
2025,A1,6.25,99.99864534438733,147637,99.99729068877464,147635,2,Cả nước
2025,A1,5.75,99.99932267219366,147638,99.99864534438733,147637,1,Cả nước
2025,A1,5.5,100.0,147639,99.99932267219366,147638,1,Cả nước
2025,B,30.0,0.002224001423360911,1,0.0,0,1,Cả nước
2025,B,29.75,0.004448002846721822,2,0.002224001423360911,1,1,Cả nước
2025,B,29.5,0.01779201138688729,8,0.004448002846721822,2,6,Cả nước
2025,B,29.25,0.028912018503691843,13,0.01779201138688729,8,5,Cả nước
2025,B,29.0,0.07339204697091006,33,0.028912018503691843,13,20,Cả nước
2025,B,28.75,0.15568009963526377,70,0.07339204697091006,33,37,Cả nước
2025,B,28.5,0.2691041722266702,121,0.15568009963526377,70,51,Cả nước
2025,B,28.25,0.449248287518904,202,0.2691041722266702,121,81,Cả nước
2025,B,28.0,0.6916644426652433,311,0.449248287518904,202,109,Cả nước
2025,B,27.75,0.9963526376656882,448,0.6916644426652433,311,137,Cả nước
2025,B,27.5,1.3633128725202384,613,0.9963526376656882,448,165,Cả nước
2025,B,27.25,1.7680811315719243,795,1.3633128725202384,613,182,Cả nước
2025,B,27.0,2.346321501645761,1055,1.7680811315719243,795,260,Cả nước
2025,B,26.75,3.0112979272306735,1354,2.346321501645761,1055,299,Cả nước
2025,B,26.5,3.694066364202473,1661,3.0112979272306735,1354,307,Cả nước
2025,B,26.25,4.488034872342318,2018,3.694066364202473,1661,357,Cả nước
2025,B,26.0,5.2953473890223295,2381,4.488034872342318,2018,363,Cả nước
2025,B,25.75,6.136019927052754,2759,5.2953473890223295,2381,378,Cả nước
2025,B,25.5,7.050084512054087,3170,6.136019927052754,2759,411,Cả nước
2025,B,25.25,8.048661151143136,3619,7.050084512054087,3170,449,Cả nước
2025,B,25.0,9.01165376745841,4052,8.048661151143136,3619,433,Cả nước
2025,B,24.75,10.003558402277378,4498,9.01165376745841,4052,446,Cả nước
2025,B,24.5,11.051063072680368,4969,10.003558402277378,4498,471,Cả nước
2025,B,24.25,12.18530379859443,5479,11.051063072680368,4969,510,Cả nước
2025,B,24.0,13.228360466150699,5948,12.18530379859443,5479,469,Cả nước
2025,B,23.75,14.464905257539366,6504,13.228360466150699,5948,556,Cả nước
2025,B,23.5,15.708122053198114,7063,14.464905257539366,6504,559,Cả nước
2025,B,23.25,16.989146873053997,7639,15.708122053198114,7063,576,Cả nước
2025,B,23.0,18.299083711413573,8228,16.989146873053997,7639,589,Cả nước
2025,B,22.75,19.715772618094476,8865,18.299083711413573,8228,637,Cả nước
2025,B,22.5,21.01903745218397,9451,19.715772618094476,8865,586,Cả nước
2025,B,22.25,22.375678320434126,10061,21.01903745218397,9451,610,Cả nước
2025,B,22.0,23.814607241348636,10708,22.375678320434126,10061,647,Cả nước
2025,B,21.75,25.189040120985677,11326,23.814607241348636,10708,618,Cả nước
2025,B,21.5,26.636865047593634,11977,25.189040120985677,11326,651,Cả nước
2025,B,21.25,28.07579396850814,12624,26.636865047593634,11977,647,Cả nước
2025,B,21.0,29.61480295347389,13316,28.07579396850814,12624,692,Cả nước
2025,B,20.75,31.178275954096613,14019,29.61480295347389,13316,703,Cả nước
2025,B,20.5,32.797348990303355,14747,31.178275954096613,14019,728,Cả nước
2025,B,20.25,34.50315808202117,15514,32.797348990303355,14747,767,Cả nước
2025,B,20.0,36.18672715950538,16271,34.50315808202117,15514,757,Cả nước
2025,B,19.75,37.928120273996974,17054,36.18672715950538,16271,783,Cả nước
2025,B,19.5,39.62725736144471,17818,37.928120273996974,17054,764,Cả nước
2025,B,19.25,41.537674584111734,18677,39.62725736144471,17818,859,Cả nước
2025,B,19.0,43.376923761231204,19504,41.537674584111734,18677,827,Cả nước
2025,B,18.75,45.20727693265724,20327,43.376923761231204,19504,823,Cả nước
2025,B,18.5,47.04875011120007,21155,45.20727693265724,20327,828,Cả nước
2025,B,18.25,48.92135930966996,21997,47.04875011120007,21155,842,Cả nước
2025,B,18.0,50.90072057646117,22887,48.92135930966996,21997,890,Cả nước
2025,B,17.75,52.85116982474869,23764,50.90072057646117,22887,877,Cả nước
2025,B,17.5,54.779379058802604,24631,52.85116982474869,23764,867,Cả nước
2025,B,17.25,56.67200427008273,25482,54.779379058802604,24631,851,Cả nước
2025,B,17.0,58.65581353972067,26374,56.67200427008273,25482,892,Cả nước
2025,B,16.75,60.68632683924917,27287,58.65581353972067,26374,913,Cả nước
2025,B,16.5,62.739080153011294,28210,60.68632683924917,27287,923,Cả nước
2025,B,16.25,64.90748154078818,29185,62.739080153011294,28210,975,Cả nước
2025,B,16.0,66.90241081754293,30082,64.90748154078818,29185,897,Cả nước
2025,B,15.75,68.96183613557513,31008,66.90241081754293,30082,926,Cả nước
2025,B,15.5,70.88782136820568,31874,68.96183613557513,31008,866,Cả nước
2025,B,15.25,72.89164665065385,32775,70.88782136820568,31874,901,Cả nước
2025,B,15.0,74.71310381638644,33594,72.89164665065385,32775,819,Cả nước
2025,B,14.75,76.5768170091629,34432,74.71310381638644,33594,838,Cả nước
2025,B,14.5,78.2715060937639,35194,76.5768170091629,34432,762,Cả nước
2025,B,14.25,80.05070723245264,35994,78.2715060937639,35194,800,Cả nước
2025,B,14.0,81.7142602971266,36742,80.05070723245264,35994,748,Cả nước
2025,B,13.75,83.37781336180056,37490,81.7142602971266,36742,748,Cả nước
2025,B,13.5,84.98799039231385,38214,83.37781336180056,37490,724,Cả nước
2025,B,13.25,86.40467929899475,38851,84.98799039231385,38214,637,Cả nước
2025,B,13.0,87.81469620140557,39485,86.40467929899475,38851,634,Cả nước
2025,B,12.75,89.166889066809,40093,87.81469620140557,39485,608,Cả nước
2025,B,12.5,90.4701539008985,40679,89.166889066809,40093,586,Cả nước
2025,B,12.25,91.7155946979806,41239,90.4701539008985,40679,560,Cả nước
2025,B,12.0,92.82092340539097,41736,91.7155946979806,41239,497,Cả nước
2025,B,11.75,93.73276398896894,42146,92.82092340539097,41736,410,Cả nước
2025,B,11.5,94.61346855261988,42542,93.73276398896894,42146,396,Cả nước
2025,B,11.25,95.44524508495685,42916,94.61346855261988,42542,374,Cả nước
2025,B,11.0,96.20362957032292,43257,95.44524508495685,42916,341,Cả nước
2025,B,10.75,96.84191797882751,43544,96.20362957032292,43257,287,Cả nước
2025,B,10.5,97.33564629481363,43766,96.84191797882751,43544,222,Cả nước
2025,B,10.25,97.82492660795303,43986,97.33564629481363,43766,220,Cả nước
2025,B,10.0,98.27639889689529,44189,97.82492660795303,43986,203,Cả nước
2025,B,9.75,98.60110310470598,44335,98.27639889689529,44189,146,Cả nước
2025,B,9.5,98.91691130682324,44477,98.60110310470598,44335,142,Cả nước
2025,B,9.25,99.15487945912285,44584,98.91691130682324,44477,107,Cả nước
2025,B,9.0,99.33057557156837,44663,99.15487945912285,44584,79,Cả nước
2025,B,8.75,99.46623965839339,44724,99.33057557156837,44663,61,Cả nước
2025,B,8.5,99.61524775375857,44791,99.46623965839339,44724,67,Cả nước
2025,B,8.25,99.73756783204341,44846,99.61524775375857,44791,55,Cả nước
2025,B,8.0,99.81540788186103,44881,99.73756783204341,44846,35,Cả nước
2025,B,7.75,99.86655991459834,44904,99.81540788186103,44881,23,Cả nước
2025,B,7.5,99.91326394448893,44925,99.86655991459834,44904,21,Cả nước
2025,B,7.25,99.94217596299262,44938,99.91326394448893,44925,13,Cả nước
2025,B,7.0,99.95996797437951,44946,99.94217596299262,44938,8,Cả nước
2025,B,6.75,99.97108798149631,44951,99.95996797437951,44946,5,Cả nước
2025,B,6.5,99.9777599857664,44954,99.97108798149631,44951,3,Cả nước
2025,B,6.25,99.9888799928832,44959,99.9777599857664,44954,5,Cả nước
2025,B,6.0,99.99332799572991,44961,99.9888799928832,44959,2,Cả nước
2025,B,5.75,99.99555199715327,44962,99.99332799572991,44961,1,Cả nước
2025,B,5.5,99.99777599857664,44963,99.99555199715327,44962,1,Cả nước
2025,B,4.0,100.0,44964,99.99777599857664,44963,1,Cả nước
2025,C,29.75,0.0003362768769293886,1,0.0,0,1,Cả nước
2025,C,29.5,0.005044153153940829,15,0.0003362768769293886,1,14,Cả nước
2025,C,29.25,0.020849166369622092,62,0.005044153153940829,15,47,Cả nước
2025,C,29.0,0.05985728409343117,178,0.020849166369622092,62,116,Cả nước
2025,C,28.75,0.13417447389482604,399,0.05985728409343117,178,221,Cả nước
2025,C,28.5,0.26431362526649943,786,0.13417447389482604,399,387,Cả nước
2025,C,28.25,0.4832298721475314,1437,0.26431362526649943,786,651,Cả nước
2025,C,28.0,0.8003389670919449,2380,0.4832298721475314,1437,943,Cả nước
2025,C,27.75,1.2301008158077034,3658,0.8003389670919449,2380,1278,Cả nước
2025,C,27.5,1.738551453724939,5170,1.2301008158077034,3658,1512,Cả nước
2025,C,27.25,2.362681337305884,7026,1.738551453724939,5170,1856,Cả nước
2025,C,27.0,3.1085434503352682,9244,2.362681337305884,7026,2218,Cả nước
2025,C,26.75,3.9502444732895277,11747,3.1085434503352682,9244,2503,Cả nước
2025,C,26.5,4.884421637399369,14525,3.9502444732895277,11747,2778,Cả nước
2025,C,26.25,5.9416761384653665,17669,4.884421637399369,14525,3144,Cả nước
2025,C,26.0,7.07862825936363,21050,5.9416761384653665,17669,3381,Cả nước
2025,C,25.75,8.338321440341119,24796,7.07862825936363,21050,3746,Cả nước
2025,C,25.5,9.650810090996522,28699,8.338321440341119,24796,3903,Cả nước
2025,C,25.25,11.03358060893017,32811,9.650810090996522,28699,4112,Cả nước
2025,C,25.0,12.466120104649365,37071,11.03358060893017,32811,4260,Cả nước
2025,C,24.75,13.995171064047293,41618,12.466120104649365,37071,4547,Cả nước
2025,C,24.5,15.610308903939146,46421,13.995171064047293,41618,4803,Cả nước
2025,C,24.25,17.219393760046273,51206,15.610308903939146,46421,4785,Cả nước
2025,C,24.0,18.845292459999865,56041,17.219393760046273,51206,4835,Cả nước
2025,C,23.75,20.55324271792423,61120,18.845292459999865,56041,5079,Cả nước
2025,C,23.5,22.32004142931124,66374,20.55324271792423,61120,5254,Cả nước
2025,C,23.25,24.13795422599151,71780,22.32004142931124,66374,5406,Cả nước
2025,C,23.0,25.999583016672606,77316,24.13795422599151,71780,5536,Cả nước
2025,C,22.75,27.850787224168894,82821,25.999583016672606,77316,5505,Cả nước
2025,C,22.5,29.725530813050234,88396,27.850787224168894,82821,5575,Cả nước
2025,C,22.25,31.703847680025827,94279,29.725530813050234,88396,5883,Cả nước
2025,C,22.0,33.610873849092386,99950,31.703847680025827,94279,5671,Cả nước
2025,C,21.75,35.59490742297578,105850,33.610873849092386,99950,5900,Cả nước
2025,C,21.5,37.61055102329053,111844,35.59490742297578,105850,5994,Cả nước
2025,C,21.25,39.630566223005374,117851,37.61055102329053,111844,6007,Cả nước
2025,C,21.0,41.64049311641233,123828,39.630566223005374,117851,5977,Cả nước
2025,C,20.75,43.650083732942356,129804,41.64049311641233,123828,5976,Cả nước
2025,C,20.5,45.658329241964665,135776,43.650083732942356,129804,5972,Cả nước
2025,C,20.25,47.70322893057228,141857,45.658329241964665,135776,6081,Cả nước
2025,C,20.0,49.75821692548777,147968,47.70322893057228,141857,6111,Cả nước
2025,C,19.75,51.793364584664424,154020,49.75821692548777,147968,6052,Cả nước
2025,C,19.5,53.8217867063025,160052,51.793364584664424,154020,6032,Cả nước
2025,C,19.25,55.84852744355593,166079,53.8217867063025,160052,6027,Cả nước
2025,C,19.0,57.911922360394655,172215,55.84852744355593,166079,6136,Cả nước
2025,C,18.75,59.88754901235481,178090,57.911922360394655,172215,5875,Cả nước
2025,C,18.5,61.82484010034502,183851,59.88754901235481,178090,5761,Cả nước
2025,C,18.25,63.792732384135796,189703,61.82484010034502,183851,5852,Cả nước
