year,khoi,diem_moc,count_exact,count_greater_equal,higher_than_count,percentile,top_percent,view
2025,A02,22.5,11,90,79,1.8769551616266946,1.6475495307612096,Cả nước
2025,A02,22.25,10,100,90,2.0855057351407713,1.8769551616266946,Cả nước
2025,A02,22.0,14,114,100,2.37747653806048,2.0855057351407713,Cả nước
2025,A02,21.75,29,143,114,2.9822732012513034,2.37747653806048,Cả nước
2025,A02,21.5,22,165,143,3.441084462982273,2.9822732012513034,Cả nước
2025,A02,21.25,24,189,165,3.9416058394160585,3.441084462982273,Cả nước
2025,A02,21.0,32,221,189,4.6089676746611055,3.9416058394160585,Cả nước
2025,A02,20.75,41,262,221,5.464025026068821,4.6089676746611055,Cả nước
2025,A02,20.5,39,301,262,6.2773722627737225,5.464025026068821,Cả nước
2025,A02,20.25,33,334,301,6.965589155370178,6.2773722627737225,Cả nước
2025,A02,20.0,49,383,334,7.987486965589155,6.965589155370178,Cả nước
2025,A02,19.75,40,423,383,8.821689259645463,7.987486965589155,Cả nước
2025,A02,19.5,47,470,423,9.801876955161628,8.821689259645463,Cả nước
2025,A02,19.25,50,520,470,10.844629822732013,9.801876955161628,Cả nước
2025,A02,19.0,64,584,520,12.179353493222106,10.844629822732013,Cả nước
2025,A02,18.75,78,662,584,13.806047966631906,12.179353493222106,Cả nước
2025,A02,18.5,61,723,662,15.078206465067778,13.806047966631906,Cả nước
2025,A02,18.25,92,815,723,16.99687174139729,15.078206465067778,Cả nước
2025,A02,18.0,82,897,815,18.706986444212724,16.99687174139729,Cả nước
2025,A02,17.75,107,1004,897,20.93847758081335,18.706986444212724,Cả nước
2025,A02,17.5,107,1111,1004,23.169968717413973,20.93847758081335,Cả nước
2025,A02,17.25,120,1231,1111,25.6725755995829,23.169968717413973,Cả nước
2025,A02,17.0,128,1359,1231,28.342022940563087,25.6725755995829,Cả nước
2025,A02,16.75,121,1480,1359,30.86548488008342,28.342022940563087,Cả nước
2025,A02,16.5,123,1603,1480,33.43065693430657,30.86548488008342,Cả nước
2025,A02,16.25,131,1734,1603,36.16266944734098,33.43065693430657,Cả nước
2025,A02,16.0,143,1877,1734,39.144942648592284,36.16266944734098,Cả nước
2025,A02,15.75,136,2013,1877,41.981230448383734,39.144942648592284,Cả nước
2025,A02,15.5,163,2176,2013,45.38060479666319,41.981230448383734,Cả nước
2025,A02,15.25,166,2342,2176,48.84254431699687,45.38060479666319,Cả nước
2025,A02,15.0,159,2501,2342,52.158498435870705,48.84254431699687,Cả nước
2025,A02,14.75,177,2678,2501,55.84984358706987,52.158498435870705,Cả nước
2025,A02,14.5,172,2850,2678,59.436913451512,55.84984358706987,Cả nước
2025,A02,14.25,167,3017,2850,62.91970802919708,59.436913451512,Cả nước
2025,A02,14.0,166,3183,3017,66.38164754953077,62.91970802919708,Cả nước
2025,A02,13.75,168,3351,3183,69.88529718456725,66.38164754953077,Cả nước
2025,A02,13.5,139,3490,3351,72.78415015641293,69.88529718456725,Cả nước
2025,A02,13.25,145,3635,3490,75.80813347236705,72.78415015641293,Cả nước
2025,A02,13.0,131,3766,3635,78.54014598540145,75.80813347236705,Cả nước
2025,A02,12.75,133,3899,3766,81.31386861313868,78.54014598540145,Cả nước
2025,A02,12.5,105,4004,3899,83.5036496350365,81.31386861313868,Cả nước
2025,A02,12.25,102,4106,4004,85.63086548488008,83.5036496350365,Cả nước
2025,A02,12.0,95,4201,4106,87.61209593326382,85.63086548488008,Cả nước
2025,A02,11.75,96,4297,4201,89.61418143899895,87.61209593326382,Cả nước
2025,A02,11.5,82,4379,4297,91.32429614181439,89.61418143899895,Cả nước
2025,A02,11.25,75,4454,4379,92.88842544316996,91.32429614181439,Cả nước
2025,A02,11.0,65,4519,4454,94.24400417101147,92.88842544316996,Cả nước
2025,A02,10.75,46,4565,4519,95.20333680917622,94.24400417101147,Cả nước
2025,A02,10.5,49,4614,4565,96.22523461939521,95.20333680917622,Cả nước
2025,A02,10.25,37,4651,4614,96.99687174139729,96.22523461939521,Cả nước
2025,A02,10.0,25,4676,4651,97.51824817518249,96.99687174139729,Cả nước
2025,A02,9.75,27,4703,4676,98.0813347236705,97.51824817518249,Cả nước
2025,A02,9.5,18,4721,4703,98.45672575599583,98.0813347236705,Cả nước
2025,A02,9.25,20,4741,4721,98.87382690302398,98.45672575599583,Cả nước
2025,A02,9.0,13,4754,4741,99.14494264859228,98.87382690302398,Cả nước
2025,A02,8.75,13,4767,4754,99.41605839416059,99.14494264859228,Cả nước
2025,A02,8.5,5,4772,4767,99.52033368091763,99.41605839416059,Cả nước
2025,A02,8.25,4,4776,4772,99.60375391032326,99.52033368091763,Cả nước
2025,A02,8.0,2,4778,4776,99.64546402502606,99.60375391032326,Cả nước
2025,A02,7.75,6,4784,4778,99.77059436913451,99.64546402502606,Cả nước
2025,A02,7.5,2,4786,4784,99.81230448383734,99.77059436913451,Cả nước
2025,A02,7.25,4,4790,4786,99.89572471324296,99.81230448383734,Cả nước
2025,A02,7.0,1,4791,4790,99.91657977059437,99.89572471324296,Cả nước
2025,A02,6.75,2,4793,4791,99.95828988529718,99.91657977059437,Cả nước
2025,A02,6.5,2,4795,4793,100.0,99.95828988529718,Cả nước
2025,A03,29.0,1,1,0,0.0059189109203906486,0.0,Cả nước
2025,A03,27.5,1,2,1,0.011837821840781297,0.0059189109203906486,Cả nước
2025,A03,27.0,1,3,2,0.017756732761171942,0.011837821840781297,Cả nước
2025,A03,26.75,2,5,3,0.029594554601953243,0.017756732761171942,Cả nước
2025,A03,26.5,3,8,5,0.04735128736312519,0.029594554601953243,Cả nước
2025,A03,26.25,2,10,8,0.059189109203906486,0.04735128736312519,Cả nước
2025,A03,26.0,2,12,10,0.07102693104468777,0.059189109203906486,Cả nước
2025,A03,25.75,5,17,12,0.10062148564664103,0.07102693104468777,Cả nước
2025,A03,25.5,5,22,17,0.13021604024859426,0.10062148564664103,Cả nước
2025,A03,25.25,6,28,22,0.16572950577093815,0.13021604024859426,Cả nước
2025,A03,25.0,9,37,28,0.218999704054454,0.16572950577093815,Cả nước
2025,A03,24.75,11,48,37,0.2841077241787511,0.218999704054454,Cả nước
2025,A03,24.5,12,60,48,0.3551346552234389,0.2841077241787511,Cả nước
2025,A03,24.25,20,80,60,0.4735128736312519,0.3551346552234389,Cả nước
2025,A03,24.0,23,103,80,0.6096478248002367,0.4735128736312519,Cả nước
2025,A03,23.75,21,124,103,0.7339449541284404,0.6096478248002367,Cả nước
2025,A03,23.5,24,148,124,0.875998816217816,0.7339449541284404,Cả nước
2025,A03,23.25,34,182,148,1.077241787511098,0.875998816217816,Cả nước
2025,A03,23.0,46,228,182,1.3495116898490678,1.077241787511098,Cả nước
2025,A03,22.75,52,280,228,1.6572950577093812,1.3495116898490678,Cả nước
2025,A03,22.5,75,355,280,2.1012133767386802,1.6572950577093812,Cả nước
2025,A03,22.25,77,432,355,2.55696951760876,2.1012133767386802,Cả nước
2025,A03,22.0,85,517,432,3.0600769458419648,2.55696951760876,Cả nước
2025,A03,21.75,104,621,517,3.6756436815625926,3.0600769458419648,Cả nước
2025,A03,21.5,109,730,621,4.320804971885173,3.6756436815625926,Cả nước
2025,A03,21.25,129,859,730,5.084344480615567,4.320804971885173,Cả nước
2025,A03,21.0,150,1009,859,5.972181118674165,5.084344480615567,Cả nước
2025,A03,20.75,147,1156,1009,6.84226102397159,5.972181118674165,Cả nước
2025,A03,20.5,180,1336,1156,7.907664989641907,6.84226102397159,Cả nước
2025,A03,20.25,221,1557,1336,9.215744303048238,7.907664989641907,Cả nước
2025,A03,20.0,230,1787,1557,10.577093814738088,9.215744303048238,Cả nước
2025,A03,19.75,260,2047,1787,12.116010654039657,10.577093814738088,Cả nước
2025,A03,19.5,268,2315,2047,13.702278780704349,12.116010654039657,Cả nước
2025,A03,19.25,331,2646,2315,15.661438295353655,13.702278780704349,Cả nước
2025,A03,19.0,335,2981,2646,17.644273453684523,15.661438295353655,Cả nước
2025,A03,18.75,374,3355,2981,19.857946137910623,17.644273453684523,Cả nước
2025,A03,18.5,392,3747,3355,22.178159218703758,19.857946137910623,Cả nước
2025,A03,18.25,393,4140,3747,24.504291210417286,22.178159218703758,Cả nước
2025,A03,18.0,430,4570,4140,27.04942290618526,24.504291210417286,Cả nước
2025,A03,17.75,447,5017,4570,29.695176087599883,27.04942290618526,Cả nước
2025,A03,17.5,504,5521,5017,32.67830719147677,29.695176087599883,Cả nước
2025,A03,17.25,491,6012,5521,35.58449245338858,32.67830719147677,Cả nước
2025,A03,17.0,486,6498,6012,38.461083160698436,35.58449245338858,Cả nước
2025,A03,16.75,510,7008,6498,41.47972773009766,38.461083160698436,Cả nước
2025,A03,16.5,559,7567,7008,44.78839893459604,41.47972773009766,Cả nước
2025,A03,16.25,545,8112,7567,48.014205386208936,44.78839893459604,Cả nước
2025,A03,16.0,561,8673,8112,51.33471441254809,48.014205386208936,Cả nước
2025,A03,15.75,550,9223,8673,54.59011541876295,51.33471441254809,Cả nước
2025,A03,15.5,553,9776,9223,57.86327315773898,54.59011541876295,Cả nước
2025,A03,15.25,537,10313,9776,61.04172832198876,57.86327315773898,Cả nước
2025,A03,15.0,531,10844,10313,64.18467002071618,61.04172832198876,Cả nước
2025,A03,14.75,511,11355,10844,67.20923350103581,64.18467002071618,Cả nước
2025,A03,14.5,482,11837,11355,70.06214856466411,67.20923350103581,Cả nước
2025,A03,14.25,490,12327,11837,72.96241491565551,70.06214856466411,Cả nước
2025,A03,14.0,466,12793,12327,75.72062740455756,72.96241491565551,Cả nước
2025,A03,13.75,442,13235,12793,78.33678603137024,75.72062740455756,Cả nước
2025,A03,13.5,422,13657,13235,80.83456643977507,78.33678603137024,Cả nước
2025,A03,13.25,404,14061,13657,83.22580645161291,80.83456643977507,Cả nước
2025,A03,13.0,345,14406,14061,85.26783071914767,83.22580645161291,Cả nước
2025,A03,12.75,342,14748,14406,87.29209825392128,85.26783071914767,Cả nước
2025,A03,12.5,283,15031,14748,88.96715004439183,87.29209825392128,Cả nước
2025,A03,12.25,249,15280,15031,90.4409588635691,88.96715004439183,Cả nước
2025,A03,12.0,249,15529,15280,91.91476768274637,90.4409588635691,Cả nước
2025,A03,11.75,177,15706,15529,92.96241491565553,91.91476768274637,Cả nước
2025,A03,11.5,168,15874,15706,93.95679195028114,92.96241491565553,Cả nước
2025,A03,11.25,168,16042,15874,94.95116898490677,93.95679195028114,Cả nước
2025,A03,11.0,139,16181,16042,95.77389760284107,94.95116898490677,Cả nước
2025,A03,10.75,137,16318,16181,96.58478839893459,95.77389760284107,Cả nước
